Model,Seed,Epoch,Train_Loss,Test_Loss,Train_Acc,Test_Acc,F1,AUROC,Epoch_time
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,2,0.5719,0.6101,0.6796,0.6526,0.7245,0.604,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,3,0.5667,0.6147,0.684,0.6469,0.7102,0.617,43.14
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,4,0.5654,0.6139,0.6844,0.6487,0.7272,0.6294,43.15
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,5,0.5622,0.6412,0.6868,0.6396,0.6931,0.6192,43.14
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,6,0.564,0.6085,0.6844,0.6519,0.7215,0.6368,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,7,0.56,0.6273,0.6885,0.6439,0.7021,0.6187,43.15
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,8,0.5579,0.6174,0.6927,0.6457,0.7219,0.6124,43.15
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,9,0.5595,0.6284,0.6893,0.6445,0.7005,0.6257,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,10,0.5538,0.6353,0.6967,0.6456,0.7036,0.6795,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,11,0.5229,0.5402,0.7251,0.7255,0.7513,0.7984,43.15
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,12,0.4183,0.5577,0.8102,0.7302,0.7141,0.8176,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,13,0.3969,0.6203,0.8207,0.7082,0.651,0.823,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,14,0.3929,0.5321,0.8203,0.7391,0.7471,0.8138,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,15,0.3897,0.5603,0.8243,0.7254,0.6943,0.8273,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,16,0.387,0.5438,0.8253,0.7322,0.7113,0.8276,43.14
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,17,0.3794,0.5751,0.8317,0.7363,0.7125,0.8307,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,18,0.3772,0.5304,0.8321,0.7459,0.737,0.8346,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,19,0.3798,0.5505,0.8291,0.7354,0.7133,0.8336,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,20,0.3759,0.5441,0.8318,0.7438,0.7351,0.8337,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,21,0.3697,0.5368,0.8344,0.7439,0.7406,0.8333,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,22,0.3685,0.5216,0.8358,0.7473,0.737,0.8413,43.18
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,23,0.368,0.559,0.8344,0.7455,0.7415,0.8292,43.17
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,24,0.3668,0.5357,0.835,0.7453,0.7364,0.8394,43.15
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,25,0.3618,0.5362,0.8386,0.7506,0.732,0.8466,43.17
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,26,0.3606,0.5329,0.8394,0.751,0.754,0.8403,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,27,0.3597,0.5551,0.8384,0.7363,0.6952,0.8464,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,28,0.3528,0.5036,0.8424,0.7542,0.7294,0.8573,43.15
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,29,0.3504,0.5001,0.8418,0.7611,0.7617,0.8553,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,30,0.3501,0.4915,0.8427,0.7658,0.7529,0.8628,43.16
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,1,0.5864,0.6177,0.6738,0.6387,0.7273,0.558,43.1
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,2,0.5065,0.5386,0.7527,0.7265,0.7094,0.817,43.11
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,3,0.4149,0.6015,0.8095,0.6993,0.6393,0.8339,43.12
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,4,0.3929,0.5125,0.8205,0.7563,0.7543,0.8399,43.1
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,5,0.3825,0.5621,0.8273,0.7302,0.7041,0.8326,43.13
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,6,0.3754,0.5702,0.8289,0.7224,0.6893,0.834,43.11
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,7,0.3643,0.5364,0.8355,0.7452,0.7259,0.8446,43.11
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,8,0.3609,0.5009,0.8371,0.7582,0.7586,0.8435,43.12
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,9,0.358,0.6084,0.8406,0.694,0.6175,0.8456,43.11
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,10,0.3548,0.6144,0.8398,0.6995,0.6442,0.8293,43.12
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,11,0.3486,0.5868,0.8454,0.7248,0.6868,0.842,43.13
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,12,0.3468,0.5714,0.8448,0.7293,0.6985,0.841,43.13
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,13,0.3474,0.5955,0.8439,0.7132,0.676,0.8327,43.12
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,14,0.3397,0.5296,0.8489,0.7516,0.7472,0.843,43.14
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,15,0.337,0.5416,0.8499,0.7308,0.7059,0.8417,43.14
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,16,0.3378,0.5778,0.8495,0.7194,0.6803,0.8427,43.15
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,17,0.3365,0.5387,0.8502,0.741,0.7289,0.8384,43.12
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,18,0.3277,0.5779,0.8541,0.7357,0.708,0.8456,43.12
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,19,0.3249,0.5578,0.859,0.7232,0.6915,0.8378,43.11
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,20,0.3235,0.6184,0.8569,0.7065,0.6458,0.8456,43.14
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,21,0.3192,0.5824,0.8603,0.7249,0.6944,0.8389,43.11
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,22,0.3166,0.5239,0.8618,0.7499,0.7335,0.8575,43.14
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,23,0.3129,0.6319,0.8652,0.7104,0.6753,0.824,43.13
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,24,0.3119,0.5131,0.8631,0.7541,0.7504,0.851,43.12
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,25,0.3112,0.5659,0.8647,0.7422,0.7109,0.8561,43.13
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,26,0.3073,0.5068,0.8662,0.7569,0.7383,0.8634,43.11
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,27,0.3068,0.5698,0.8659,0.7371,0.7104,0.8474,43.12
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,28,0.3014,0.5296,0.8709,0.751,0.7344,0.8474,43.13
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,29,0.3009,0.5294,0.87,0.7442,0.7314,0.8453,43.11
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,15,30,0.3024,0.5228,0.868,0.7539,0.74,0.8511,43.12
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,1,0.5781,0.5671,0.7133,0.7009,0.688,0.7939,43.06
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,2,0.4709,0.524,0.7733,0.7358,0.7486,0.8152,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,3,0.4376,0.5763,0.7903,0.7104,0.6784,0.816,43.07
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,4,0.4245,0.5228,0.7996,0.7392,0.7357,0.8268,43.04
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,5,0.4178,0.5137,0.8004,0.7504,0.782,0.8183,43.04
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,6,0.4091,0.5166,0.8072,0.7436,0.7479,0.8284,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,7,0.4038,0.5145,0.8107,0.7493,0.754,0.8304,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,8,0.3999,0.5275,0.8138,0.7449,0.7457,0.8301,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,9,0.3929,0.5067,0.8138,0.7578,0.7625,0.8383,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,10,0.3914,0.5122,0.8171,0.7586,0.7559,0.8467,43.06
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,11,0.3898,0.4956,0.8145,0.7688,0.7835,0.8503,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,12,0.38,0.4948,0.823,0.7653,0.7617,0.8562,43.06
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,13,0.3806,0.4987,0.8235,0.7626,0.7623,0.8503,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,14,0.3746,0.4911,0.8251,0.7679,0.7905,0.8508,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,15,0.3661,0.5095,0.8304,0.7677,0.7627,0.8524,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,16,0.3657,0.4914,0.8315,0.7577,0.79,0.8543,43.06
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,17,0.3633,0.4788,0.8334,0.7821,0.7767,0.8683,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,18,0.3592,0.4818,0.8377,0.7802,0.777,0.8656,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,19,0.3548,0.4772,0.8385,0.774,0.783,0.8595,43.04
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,20,0.3493,0.5534,0.8425,0.7506,0.7153,0.8672,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,21,0.3457,0.5089,0.8467,0.7697,0.75,0.8725,43.06
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,22,0.34,0.4896,0.8472,0.7761,0.7634,0.8675,43.06
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,23,0.3413,0.5573,0.8493,0.7444,0.7022,0.8676,43.05
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,24,0.3392,0.6087,0.8511,0.708,0.636,0.859,43.06
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,25,0.3377,0.5029,0.8482,0.7737,0.7617,0.8639,43.06
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,26,0.3351,0.5694,0.8477,0.7374,0.7012,0.8584,43.07
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,27,0.3265,0.5252,0.8551,0.7474,0.7399,0.8443,43.07
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,28,0.3284,0.5114,0.8543,0.7707,0.7549,0.8679,43.06
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,29,0.3232,0.5312,0.8577,0.7554,0.7397,0.8572,43.06
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,67,30,0.3188,0.542,0.8588,0.7666,0.7577,0.8521,43.06
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,1,0.5007,0.5391,0.7554,0.743,0.7352,0.8212,117.99
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,2,0.4346,0.5858,0.7866,0.7444,0.7351,0.8177,117.51
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,3,0.4291,0.5212,0.7926,0.7488,0.7607,0.8271,117.52
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,4,0.4135,0.6182,0.8006,0.7213,0.7079,0.8103,117.53
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,5,0.408,0.5325,0.8054,0.7436,0.7465,0.8298,117.48
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,6,0.4052,0.5844,0.8101,0.7297,0.6999,0.8282,117.51
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,7,0.4019,0.507,0.8108,0.7568,0.7647,0.839,117.5
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,8,0.3957,0.5374,0.8143,0.7525,0.7426,0.8341,117.49
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,9,0.3919,0.5234,0.8131,0.7546,0.7582,0.8385,117.49
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,10,0.3811,0.4682,0.8196,0.775,0.7868,0.8647,117.5
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,11,0.3745,0.5066,0.8251,0.7616,0.7468,0.8571,117.48
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,12,0.3704,0.4691,0.8276,0.7802,0.7863,0.8661,117.47
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,13,0.3688,0.486,0.8268,0.765,0.7701,0.8569,117.53
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,14,0.3668,0.469,0.829,0.7811,0.7971,0.8703,117.48
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,15,0.3561,0.4672,0.8347,0.7842,0.7936,0.8702,117.48
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,16,0.3531,0.4915,0.8369,0.7753,0.7757,0.8572,117.48
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,17,0.351,0.6183,0.8396,0.7113,0.6435,0.839,117.5
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,18,0.3458,0.4842,0.8454,0.7866,0.79,0.8675,117.5
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,19,0.3419,0.6304,0.8462,0.7075,0.6491,0.8325,117.49
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,20,0.333,0.628,0.8517,0.72,0.6664,0.8277,117.5
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,21,0.3332,0.4731,0.853,0.7945,0.7948,0.872,117.5
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,22,0.3282,0.5117,0.8574,0.7689,0.749,0.8618,117.5
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,23,0.327,0.5554,0.8569,0.7492,0.709,0.8575,117.49
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,24,0.3239,0.5299,0.8624,0.7768,0.773,0.8523,117.5
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,25,0.3197,0.4783,0.861,0.7865,0.7966,0.8725,117.46
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,26,0.3196,0.4752,0.8606,0.7872,0.7814,0.8724,117.45
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,27,0.3183,0.5954,0.8604,0.7437,0.6999,0.8532,117.4
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,28,0.3136,0.6116,0.8655,0.735,0.6989,0.8338,117.47
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,29,0.3159,0.5596,0.8623,0.7539,0.7474,0.835,117.46
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,42,30,0.3145,0.5769,0.864,0.7382,0.7256,0.8255,117.42
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,1,0.6288,0.6114,0.6149,0.648,0.7205,0.5666,117.39
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,2,0.5711,0.6207,0.6772,0.6502,0.729,0.564,117.43
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,3,0.5749,0.6116,0.6682,0.6537,0.725,0.5749,117.46
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,4,0.5639,0.6137,0.6817,0.652,0.7209,0.7172,117.44
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,5,0.5641,0.6088,0.6827,0.6565,0.7279,0.7114,117.47
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,6,0.5549,0.5822,0.6869,0.6494,0.7132,0.8241,117.44
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,7,0.4552,0.5179,0.7772,0.7618,0.759,0.8347,117.42
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,8,0.4113,0.5504,0.8075,0.7394,0.7183,0.8389,117.44
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,9,0.4032,0.5065,0.8125,0.754,0.7601,0.8318,117.43
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,10,0.3952,0.5987,0.8169,0.7153,0.6657,0.8476,117.46
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,11,0.3858,0.5381,0.8242,0.7401,0.7194,0.8435,117.37
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,12,0.383,0.5421,0.8259,0.7389,0.717,0.8453,117.41
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,13,0.3745,0.5298,0.8323,0.7413,0.7231,0.8471,117.41
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,14,0.3723,0.5398,0.8298,0.7377,0.713,0.8467,117.4
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,15,0.3673,0.5538,0.8324,0.7322,0.7035,0.8488,117.38
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,16,0.3652,0.5769,0.8351,0.7195,0.6723,0.8476,117.4
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,17,0.3573,0.5141,0.8405,0.741,0.727,0.8503,117.39
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,18,0.3564,0.5169,0.8433,0.7504,0.7551,0.8377,117.35
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,19,0.3571,0.5889,0.8417,0.7273,0.688,0.8508,117.38
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,20,0.3492,0.537,0.8448,0.7472,0.7662,0.8347,117.36
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,21,0.3487,0.5499,0.8466,0.7516,0.7482,0.8431,117.39
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,22,0.3482,0.5227,0.8497,0.7442,0.7238,0.8494,117.36
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,23,0.3434,0.5433,0.8504,0.7513,0.7388,0.8525,117.38
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,24,0.3402,0.5539,0.8492,0.7383,0.7052,0.8589,117.37
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,25,0.3415,0.5068,0.8505,0.7529,0.7383,0.8543,117.37
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,26,0.3384,0.5107,0.852,0.7551,0.7718,0.8439,117.35
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,27,0.3379,0.562,0.8514,0.7151,0.6738,0.8403,117.34
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,28,0.3346,0.5372,0.856,0.7544,0.7553,0.8443,117.37
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,29,0.3342,0.5212,0.8528,0.7635,0.755,0.8588,117.34
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,15,30,0.3345,0.5321,0.8549,0.7598,0.7414,0.8617,117.36
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,1,0.5701,0.5364,0.6959,0.7429,0.7692,0.8167,117.35
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,2,0.4351,0.5513,0.79,0.7366,0.7086,0.8376,117.36
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,3,0.4196,0.4809,0.7994,0.7702,0.7885,0.8516,117.36
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,4,0.4134,0.5205,0.8059,0.7658,0.7606,0.8432,117.37
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,5,0.4078,0.4898,0.8066,0.7845,0.7872,0.8562,117.34
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,6,0.4043,0.5076,0.8093,0.7684,0.7539,0.8552,117.38
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,7,0.3982,0.5192,0.8162,0.766,0.7694,0.8433,117.35
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,8,0.397,0.5337,0.8144,0.7642,0.7543,0.8453,117.36
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,9,0.3917,0.4985,0.8195,0.7755,0.7804,0.8545,117.34
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,10,0.3895,0.5067,0.8199,0.7738,0.7825,0.8529,117.36
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,11,0.3891,0.5265,0.8216,0.7733,0.7637,0.8538,117.34
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,12,0.3883,0.5558,0.8194,0.7612,0.7443,0.8518,117.34
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,13,0.3856,0.4932,0.8229,0.7753,0.7843,0.855,117.35
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,14,0.383,0.5423,0.8238,0.7671,0.7593,0.8479,117.39
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,15,0.3829,0.5103,0.8242,0.7755,0.7725,0.8585,117.35
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,16,0.3825,0.5005,0.8245,0.7768,0.7793,0.857,117.36
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,17,0.3801,0.5447,0.8279,0.7695,0.7618,0.8522,117.38
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,18,0.3771,0.5376,0.8279,0.7697,0.7606,0.8514,117.37
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,19,0.372,0.5327,0.8309,0.7662,0.7535,0.8546,117.38
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,20,0.3679,0.615,0.8335,0.7445,0.7131,0.8477,117.38
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,21,0.3678,0.5691,0.8316,0.7584,0.7406,0.8521,117.37
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,22,0.3605,0.4964,0.8371,0.7794,0.7856,0.8585,117.37
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,23,0.3596,0.5365,0.8374,0.7756,0.7706,0.858,117.42
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,24,0.3589,0.5338,0.8396,0.7776,0.7851,0.853,117.37
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,25,0.3554,0.5143,0.8414,0.7711,0.7741,0.8526,117.38
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,26,0.3533,0.6143,0.8438,0.7324,0.7044,0.8371,117.37
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,27,0.3533,0.4999,0.8451,0.7729,0.7926,0.8498,117.39
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,28,0.3472,0.6142,0.8471,0.7379,0.723,0.83,117.38
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,29,0.3499,0.5428,0.8455,0.7611,0.7624,0.8382,117.42
GCNN_DIHEDRAL_16_Adam_lr0.01_wd0.0,67,30,0.3486,0.5517,0.8472,0.7556,0.7406,0.8518,117.37
CNN_Adam_lr0.01_wd0.0,42,1,0.6924,0.6938,0.5048,0.3273,0.3714,0.2523,22.06
CNN_Adam_lr0.01_wd0.0,42,2,0.6745,0.6531,0.5357,0.6438,0.7092,0.5969,11.86
CNN_Adam_lr0.01_wd0.0,42,3,0.5717,0.6239,0.6758,0.627,0.7203,0.6351,11.86
CNN_Adam_lr0.01_wd0.0,42,4,0.568,0.6156,0.6795,0.6477,0.7165,0.7736,11.87
CNN_Adam_lr0.01_wd0.0,42,5,0.4499,0.477,0.7788,0.7726,0.7863,0.8516,11.86
CNN_Adam_lr0.01_wd0.0,42,6,0.3889,0.4932,0.8194,0.7585,0.7464,0.8531,11.85
CNN_Adam_lr0.01_wd0.0,42,7,0.3632,0.4755,0.8359,0.7754,0.7698,0.8643,11.88
CNN_Adam_lr0.01_wd0.0,42,8,0.3383,0.5447,0.8518,0.7497,0.7377,0.8427,11.87
CNN_Adam_lr0.01_wd0.0,42,9,0.3162,0.7983,0.8624,0.6558,0.5149,0.8387,11.92
CNN_Adam_lr0.01_wd0.0,42,10,0.3035,0.7139,0.8683,0.7056,0.6362,0.8264,11.89
CNN_Adam_lr0.01_wd0.0,42,11,0.2914,0.5815,0.8749,0.7522,0.7462,0.8384,11.87
CNN_Adam_lr0.01_wd0.0,42,12,0.274,0.8018,0.8823,0.7032,0.6168,0.8204,11.87
CNN_Adam_lr0.01_wd0.0,42,13,0.2647,0.7376,0.8878,0.7253,0.687,0.8181,11.88
CNN_Adam_lr0.01_wd0.0,42,14,0.252,0.9105,0.8942,0.7012,0.6198,0.8142,11.89
CNN_Adam_lr0.01_wd0.0,42,15,0.2384,1.1087,0.9017,0.6465,0.5033,0.7876,11.88
CNN_Adam_lr0.01_wd0.0,42,16,0.2323,0.9096,0.9043,0.6768,0.6223,0.7659,11.88
CNN_Adam_lr0.01_wd0.0,42,17,0.2271,0.8194,0.9059,0.7171,0.6681,0.8048,11.87
CNN_Adam_lr0.01_wd0.0,42,18,0.2285,0.7322,0.9064,0.713,0.717,0.7849,11.88
CNN_Adam_lr0.01_wd0.0,42,19,0.2219,0.9573,0.9094,0.6771,0.5688,0.7947,11.89
CNN_Adam_lr0.01_wd0.0,42,20,0.2069,0.994,0.9166,0.6933,0.6313,0.7839,11.88
CNN_Adam_lr0.01_wd0.0,42,21,0.2085,0.7889,0.9164,0.7489,0.7327,0.8234,11.91
CNN_Adam_lr0.01_wd0.0,42,22,0.2064,0.993,0.9149,0.7027,0.6193,0.8086,11.89
CNN_Adam_lr0.01_wd0.0,42,23,0.1973,0.8838,0.921,0.7351,0.6887,0.822,11.86
CNN_Adam_lr0.01_wd0.0,42,24,0.1965,1.2903,0.9211,0.6454,0.5011,0.7858,11.87
CNN_Adam_lr0.01_wd0.0,42,25,0.1933,1.0743,0.9218,0.6894,0.604,0.7922,11.87
CNN_Adam_lr0.01_wd0.0,42,26,0.1877,1.3522,0.9256,0.6341,0.4659,0.7695,11.85
